epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8178.71,0.91592,0.75411,1.34117,0.81035,0.61219,0.6799,0.41464,1.63722,1.57997,2.05242,0.008614,0.008614,0.008614
44,8367.77,0.91709,0.7337,1.32708,0.84238,0.56164,0.67103,0.39958,1.68128,1.62724,2.08209,0.008581,0.008581,0.008581
45,8556.61,0.8934,0.72493,1.32017,0.86723,0.63606,0.69995,0.4408,1.60705,1.51783,2.03272,0.008548,0.008548,0.008548
46,8745.92,0.90175,0.72954,1.32978,0.81023,0.62218,0.68171,0.42499,1.60888,1.70004,2.04002,0.008515,0.008515,0.008515
47,8935.19,0.89212,0.72333,1.30649,0.85051,0.62476,0.6854,0.43345,1.63108,1.60018,2.01729,0.008482,0.008482,0.008482
48,9124.3,0.88676,0.71074,1.30505,0.78477,0.68349,0.71698,0.43928,1.66419,1.41163,2.03682,0.008449,0.008449,0.008449
49,9313.93,0.87222,0.70171,1.29961,0.88199,0.5855,0.67095,0.42582,1.60568,1.58919,1.99645,0.008416,0.008416,0.008416
50,9503.5,0.87356,0.67959,1.29067,0.84522,0.61217,0.68721,0.44171,1.62051,1.46583,2.02516,0.008383,0.008383,0.008383
51,9693.24,0.84972,0.67418,1.2797,0.64848,0.60966,0.65159,0.39801,1.73394,1.77419,2.15291,0.00835,0.00835,0.00835
52,9882.49,0.8626,0.69406,1.29096,0.82281,0.59764,0.67893,0.42216,1.62203,1.58051,2.06245,0.008317,0.008317,0.008317
53,10071.8,0.84025,0.67332,1.27697,0.82905,0.56203,0.66025,0.41294,1.63841,1.56303,2.09287,0.008284,0.008284,0.008284
54,10260.9,0.83853,0.65238,1.26895,0.79462,0.62396,0.67736,0.43827,1.58287,1.64565,2.08323,0.008251,0.008251,0.008251
55,10450.1,0.83777,0.66337,1.28155,0.80864,0.6049,0.67679,0.41322,1.65949,1.64678,2.07593,0.008218,0.008218,0.008218
56,10639.9,0.8268,0.65248,1.26483,0.74052,0.60897,0.65722,0.4205,1.5623,1.60701,2.01337,0.008185,0.008185,0.008185
57,10829.1,0.82863,0.66113,1.27054,0.80557,0.58426,0.65246,0.42119,1.58046,1.73435,2.00457,0.008152,0.008152,0.008152
58,11018.2,0.80877,0.64518,1.25763,0.79682,0.58874,0.66926,0.43178,1.57453,1.59105,1.97833,0.008119,0.008119,0.008119
59,11207,0.81277,0.62694,1.24704,0.81586,0.60936,0.69436,0.43922,1.59444,1.61756,1.99507,0.008086,0.008086,0.008086
60,11396.6,0.81172,0.64365,1.25356,0.85462,0.53862,0.65497,0.41653,1.64849,1.67795,2.05641,0.008053,0.008053,0.008053
61,11585.9,0.80993,0.63424,1.25161,0.79151,0.62894,0.68565,0.43563,1.62952,1.53082,2.04378,0.00802,0.00802,0.00802
62,11775.4,0.78626,0.62129,1.23912,0.83345,0.59497,0.677,0.41757,1.71807,1.5084,2.21302,0.007987,0.007987,0.007987
63,11964.9,0.80097,0.62364,1.23651,0.82422,0.57791,0.67777,0.42495,1.69567,1.60304,2.14781,0.007954,0.007954,0.007954
64,12153.7,0.80018,0.61756,1.23143,0.85565,0.60131,0.67723,0.42458,1.65957,1.6621,2.10897,0.007921,0.007921,0.007921
65,12343,0.7894,0.61457,1.23959,0.80742,0.638,0.68687,0.44011,1.65711,1.45879,2.084,0.007888,0.007888,0.007888
66,12532.5,0.78846,0.61142,1.22912,0.78952,0.61088,0.67789,0.41305,1.70153,1.68091,2.14501,0.007855,0.007855,0.007855
67,12721.8,0.78491,0.59885,1.22487,0.79429,0.60179,0.67055,0.41346,1.66362,1.55641,2.14879,0.007822,0.007822,0.007822
68,12911.1,0.76804,0.59155,1.21855,0.78445,0.59681,0.67971,0.42897,1.66103,1.61472,2.15849,0.007789,0.007789,0.007789
69,13100.5,0.76291,0.59924,1.22184,0.78267,0.62398,0.69357,0.43362,1.65322,1.52824,2.11342,0.007756,0.007756,0.007756
70,13289.5,0.77438,0.59871,1.21821,0.86256,0.57332,0.66391,0.42935,1.66878,1.59104,2.14377,0.007723,0.007723,0.007723
71,13478.5,0.75765,0.57593,1.21618,0.72332,0.60224,0.63694,0.40368,1.63372,1.71637,2.15107,0.00769,0.00769,0.00769
72,13667.6,0.75438,0.57067,1.20711,0.8256,0.58191,0.68016,0.43093,1.63887,1.51778,2.15894,0.007657,0.007657,0.007657
73,13856.7,0.75546,0.57261,1.2108,0.73105,0.62135,0.67697,0.42191,1.63896,1.47188,2.1495,0.007624,0.007624,0.007624
74,14046.1,0.75312,0.5594,1.20865,0.79416,0.62787,0.68174,0.44165,1.60763,1.57601,2.14333,0.007591,0.007591,0.007591
75,14235.7,0.74154,0.56093,1.19996,0.74501,0.60174,0.65687,0.41926,1.61923,1.54129,2.14188,0.007558,0.007558,0.007558
