epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10515.3,0.88294,0.75056,1.33577,0.79641,0.58684,0.67298,0.43199,1.59749,1.69808,1.96753,0.000494885,0.000494885,0.000494885
43,10715,0.86356,0.74164,1.32248,0.76899,0.59663,0.65717,0.41631,1.60162,1.68863,2.02609,0.000486639,0.000486639,0.000486639
44,10922.6,0.8712,0.71858,1.31031,0.8077,0.60058,0.6706,0.41515,1.6652,1.5757,2.10975,0.000478392,0.000478392,0.000478392
45,11134.4,0.85074,0.71152,1.30437,0.83525,0.57169,0.67779,0.43456,1.5912,1.52451,2.02591,0.000470145,0.000470145,0.000470145
46,11345.2,0.8441,0.70242,1.30048,0.75323,0.58682,0.6707,0.42889,1.64479,1.58677,2.05378,0.000461898,0.000461898,0.000461898
47,11549.2,0.85089,0.70228,1.29668,0.76508,0.57867,0.65486,0.42538,1.61695,1.6512,2.07875,0.000453652,0.000453652,0.000453652
48,11753.9,0.84057,0.68801,1.29127,0.75365,0.62142,0.68374,0.44501,1.59927,1.47168,2.03601,0.000445405,0.000445405,0.000445405
49,11971.5,0.82188,0.67453,1.28299,0.7947,0.56949,0.66064,0.42105,1.61648,1.67973,2.0442,0.000437158,0.000437158,0.000437158
50,12174.6,0.81109,0.64793,1.26653,0.76803,0.58229,0.6681,0.42396,1.65615,1.61453,2.12496,0.000428912,0.000428912,0.000428912
51,12383.9,0.79948,0.64501,1.25982,0.77408,0.56911,0.65088,0.41302,1.61335,1.6137,2.08209,0.000420665,0.000420665,0.000420665
52,16239.2,0.80494,0.65432,1.2658,0.78506,0.59878,0.6723,0.43281,1.61878,1.65147,2.109,0.000412418,0.000412418,0.000412418
53,16926.5,0.78624,0.64174,1.25588,0.81019,0.60101,0.6739,0.42957,1.58827,1.59256,2.05258,0.000404172,0.000404172,0.000404172
54,17134.5,0.78643,0.62725,1.24415,0.78263,0.59872,0.674,0.4233,1.58404,1.64864,2.0909,0.000395925,0.000395925,0.000395925
55,17341.8,0.77918,0.62875,1.25564,0.74516,0.59174,0.64367,0.41557,1.54023,1.59446,2.00212,0.000387678,0.000387678,0.000387678
56,17542.2,0.76858,0.61662,1.2363,0.73601,0.6136,0.65462,0.42326,1.60632,1.63859,2.08712,0.000379431,0.000379431,0.000379431
57,17743.7,0.75713,0.61543,1.23755,0.7578,0.61276,0.67984,0.43403,1.61586,1.59428,2.09596,0.000371185,0.000371185,0.000371185
58,17927.8,0.74771,0.6084,1.23184,0.84199,0.54703,0.6642,0.42222,1.59389,1.60919,2.107,0.000362938,0.000362938,0.000362938
59,18112.1,0.74547,0.58521,1.21682,0.73884,0.56561,0.63764,0.40168,1.61541,1.76186,2.11814,0.000354691,0.000354691,0.000354691
60,18296.2,0.73863,0.59103,1.21826,0.79513,0.60092,0.67388,0.42109,1.66344,1.58864,2.18574,0.000346445,0.000346445,0.000346445
61,18480.5,0.74034,0.58442,1.21858,0.82422,0.57707,0.65942,0.41169,1.63275,1.60242,2.14396,0.000338198,0.000338198,0.000338198
62,18664.8,0.71547,0.57065,1.20487,0.82554,0.55508,0.66613,0.42638,1.64656,1.66242,2.14466,0.000329951,0.000329951,0.000329951
63,18861.5,0.72579,0.56375,1.20164,0.69555,0.61688,0.66979,0.4161,1.64165,1.5866,2.14418,0.000321705,0.000321705,0.000321705
64,19069.9,0.7226,0.5693,1.19706,0.75574,0.61695,0.67987,0.44551,1.61115,1.48837,2.13314,0.000313458,0.000313458,0.000313458
65,19278.7,0.70376,0.54916,1.1925,0.8462,0.59968,0.70049,0.44354,1.61059,1.48986,2.17796,0.000305211,0.000305211,0.000305211
66,19486.4,0.70973,0.55633,1.18999,0.76049,0.60436,0.68665,0.43253,1.64315,1.60361,2.16913,0.000296964,0.000296964,0.000296964
67,19677.4,0.70712,0.54241,1.1861,0.83089,0.60222,0.68999,0.4298,1.67054,1.50856,2.25572,0.000288718,0.000288718,0.000288718
